Número,Vértice,Deflexão,Tipo,Altura/carga,Posição,Vão de frente,Distância progressiva,Nível 1,Circuito 1,Nível 2,Circuito 2,Âncora,Estais,
0/1A,A1, ,N3.TR-CH,12/1000,TOPO,63,0,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/2A,, ,N1,12/1000,GAVETA,62.96,63,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/3A,, ,N4,12/1000,TOPO,74,125.96,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/4A,, ,N1,13/1000,GAVETA,74.77,199.96,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/5A,, ,N4,14/1000,TOPO,49.98,274.73,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/6A,A2,116°53'13'' D,N3-3,15/1000,GAVETA,49.99,324.71,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/7A,, ,N4,12/1000,TOPO,60,374.7,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/8A,, ,N1,12/1000,GAVETA,60,434.7,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/9A,, ,N1,12/1000,GAVETA,60,494.7,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/10A,, ,N1,12/1000,GAVETA,59.98,554.7,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/11A,, ,N4,12/1000,TOPO,77,614.68,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/12A,, ,N1,14/1000,GAVETA,77.5,691.68,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/13A,, ,N1,13/1000,GAVETA,76.5,769.18,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/14A,, ,N1,13/1000,GAVETA,79.5,845.68,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/15A,, ,N4,14/1000,TOPO,50,925.18,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
0/16A,A3,63°06'47'' D,N3-3,15/1000,GAVETA,50,975.18,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
1/1A,, ,N4,12/1000,TOPO,50,1025.18,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
1/2A,, ,N1,12/1000,GAVETA,49.99,1075.18,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
1/3A,, ,N4,12/1000,TOPO,65,1125.17,OXLIP 4/0 AWG,SLA01-C08,, ,0,0,
