Número;Vértice;Deflexão;Tipo;Altura/carga;Posição;Vão de frente;Distância progressiva;Nível 1;Circuito;Nível 2;Circuito;Âncora;Estais;
0/1B;B1; ;N3.TR-CH;12/1000;TOPO;79.4;0;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/2B;; ;N1;12/1000;GAVETA;79.3;79.4;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/3B;; ;N1;12/1000;GAVETA;79.31;158.7;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/4B;B2; ;N4.TR-CH;13/1000;TOPO;79.4;238.01;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/5B;; ;N1;12/1000;GAVETA;79.3;317.41;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/6B;;;N1;12/1000;GAVETA;79.3;396.71;OXLIP 4/0 AWG;SLA02-C10;; ;0;0;
0/7B;B3; ;N4.TR-CH;12/1500;TOPO;79.4;476.01;MAGNOLIA 954 MCM;SLA02-C10;; ;0;0;
0/8B;; ;N1;12/1000;GAVETA;79.3;555.41;MAGNOLIA 954 MCM;SLA02-C10;; ;0;0;
0/9B;; ;N1;12/1000;GAVETA;79.3;634.71;MAGNOLIA 954 MCM;SLA02-C10;; ;0;0;
0/10B;B4; ;N4/N3.TR-CH;13/1000;TOPO;79.4;714.01;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
0/11B;; ;2N1;14/1000;GAVETA;79.3;793.41;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
0/12B;; ;2N1;13/1000;GAVETA;79.3;872.71;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
0/13B;B5; ;2N4.TR-CH;14/1500;TOPO;79.4;952.01;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
1/1B;; ;2N1;13/1000;GAVETA;79.3;1031.41;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
1/2B;; ;2N1;14/1000;GAVETA;79.29;1110.71;MAGNOLIA 954 MCM;SLA02-C10;OXLIP 4/0 AWG;SLA02-C9;0;0;
1/3B;B6; ;2N4.TR-CH;14/1500;TOPO;51;1190.0;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
1/4B;; ;2N1;13/1000;GAVETA;51.56;1241;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
1/5B;; ;2N4;17/1500;TOPO;50;1292.56;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
1/6B;B7;90°00'00'' D;2N3-3;16/3000;GAVETA;50;1342.56;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;2;2;
1/7B;; ;2N4;14/1500;TOPO;75;1392.56;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
1/8B;; ;2N1;14/1000;GAVETA;75;1467.56;MAGNOLIA 954 MCM;SLA02-C10;MAGNOLIA 954 MCM;SLA02-C9;0;0;
